,run,rows
0,74:0,1
1,14:0,0
2,229:1,0
3,523:1,0
4,312:1,0
5,521:0,0
6,27:0,0
7,482:1,0
8,500:1,0
9,423:1,0
10,526:1,0
11,563:1,0
12,292:1,0
13,262:1,0
14,490:1,0
15,508:1,0
16,290:1,0
17,182:14,0
18,494:1,0
19,4:0,1
20,348:1,0
21,414:1,0
22,246:1,0
23,361:1,0
24,341:1,0
25,297:1,0
26,267:1,0
27,489:1,0
28,227:1,0
29,333:1,0
30,222:1,0
31,60:3,0
32,271:1,0
33,484:1,0
34,19:0,0
35,233:1,0
36,575:1,0
37,202:1,0
38,42:0,0
39,570:1,0
40,474:1,0
41,456:1,0
42,454:1,0
43,356:1,0
44,25:0,1
45,586:0,2
46,178:14,0
47,441:1,0
48,475:1,0
49,316:1,0
50,215:1,0
51,260:1,0
52,582:2,0
53,532:1,0
54,105:6,0
55,18:0,0
56,173:18,0
57,506:1,0
58,565:1,0
59,13:0,0
60,461:1,0
61,546:1,0
62,186:14,0
63,347:1,0
64,578:1,0
65,358:1,0
66,369:1,0
67,287:1,0
68,324:1,0
69,350:1,0
70,93:3,0
71,373:1,0
72,68:0,1
73,354:1,0
74,34:0,1
75,286:1,0
76,550:1,0
77,366:1,0
78,395:1,0
79,548:1,0
80,254:1,0
81,213:1,0
82,445:1,0
83,525:1,0
84,307:1,0
85,564:1,0
86,428:1,0
87,363:1,0
88,117:2,0
89,583:18,0
90,232:1,0
91,544:1,0
92,513:1,0
93,453:1,0
94,539:1,0
95,20:0,1
96,437:1,0
97,511:1,0
98,543:1,0
99,517:1,0
100,1:0,0
101,471:1,0
102,576:1,0
103,458:1,0
104,72:0,0
105,432:1,0
106,419:1,0
107,465:1,0
108,214:1,0
109,101:6,0
110,390:1,0
111,426:1,0
112,337:1,0
113,351:1,0
114,557:1,0
115,100:6,0
116,198:3,0
117,29:0,0
118,338:1,0
119,542:1,0
120,339:1,0
121,514:1,0
122,220:1,0
123,435:1,0
124,243:1,0
125,109:14,0
126,218:1,0
127,375:1,0
128,311:1,0
129,450:1,0
130,433:1,0
131,55:0,1
132,200:1,0
133,265:1,0
134,589:12,0
135,472:1,0
136,234:1,0
137,384:1,0
138,527:1,0
139,580:2,0
140,269:1,0
141,335:1,0
142,541:1,0
143,22:0,0
144,252:1,0
145,470:1,0
146,530:1,0
147,320:1,0
148,380:1,0
149,197:14,0
150,303:1,0
151,377:1,0
152,505:1,0
153,81:0,1
154,237:1,0
155,579:2,0
156,294:1,0
157,343:1,0
158,388:1,0
159,71:0,1
160,180:14,0
161,332:1,0
162,368:1,0
163,496:1,0
164,330:1,0
165,560:1,0
166,577:1,0
167,110:14,0
168,512:1,0
169,33:0,1
170,317:1,0
171,38:0,1
172,573:1,0
173,301:1,0
174,104:6,0
175,569:1,0
176,502:1,0
177,284:1,0
178,334:1,0
179,487:1,0
180,63:1,10000
181,240:1,0
182,201:1,0
183,345:1,0
184,422:1,0
185,483:1,0
186,520:1,0
187,416:1,0
188,404:1,0
189,353:1,0
190,210:1,0
191,562:1,0
192,328:1,0
193,230:1,0
194,205:1,0
195,519:1,0
196,382:1,0
197,208:1,0
198,460:1,0
199,253:1,0
200,392:1,0
201,3:0,1
202,425:1,0
203,529:1,0
204,455:1,0
205,281:1,0
206,528:1,0
207,12:0,0
208,463:1,0
209,191:14,0
210,228:1,0
211,442:1,0
212,499:1,0
213,121:18,0
214,549:1,0
215,176:14,0
216,257:1,0
217,250:1,0
218,466:1,0
219,443:1,0
220,379:1,0
221,23:0,0
222,184:14,0
223,574:1,0
224,444:1,0
225,488:1,0
226,277:1,0
227,106:2,0
228,524:1,0
229,221:1,0
230,410:1,0
231,430:1,0
232,7:0,1
233,509:1,0
234,16:0,0
235,248:1,0
236,111:14,0
237,447:1,0
238,223:1,0
239,256:1,0
240,533:1,0
241,118:2,0
242,554:1,0
243,288:1,0
244,211:1,0
245,545:1,0
246,255:1,0
247,275:1,0
248,537:1,0
249,244:1,0
250,535:1,0
251,522:1,0
252,231:1,0
253,319:1,0
254,225:1,0
255,486:1,0
256,403:1,0
257,386:1,0
258,457:1,0
259,305:1,0
260,504:1,0
261,207:1,0
262,448:1,0
263,402:1,0
264,515:1,0
265,510:1,0
266,32:0,0
267,187:6,0
268,2:0,1
269,321:1,0
270,280:1,0
271,112:14,0
272,96:0,1037
273,393:1,0
274,438:1,0
275,26:0,0
276,203:1,0
277,193:14,0
278,400:1,0
279,308:1,0
280,219:1,0
281,261:1,0
282,556:1,0
283,322:1,0
284,571:1,0
285,189:18,0
286,94:3,0
287,497:1,0
288,336:1,0
289,451:1,0
290,547:1,0
291,552:1,0
292,278:1,0
293,581:2,0
294,531:1,0
295,469:1,0
296,209:1,0
297,364:1,0
298,24:0,5
299,394:1,0
300,459:1,0
301,498:1,0
302,378:1,0
303,123:14,0
304,306:1,0
305,397:1,0
306,346:1,0
307,417:1,0
308,370:1,0
309,30:0,1
310,216:1,0
311,536:1,0
312,21:0,1
313,235:1,0
314,183:14,0
315,258:1,0
316,238:1,0
317,374:1,0
318,11:0,0
319,352:1,0
320,318:1,0
321,295:1,0
322,9:0,0
323,293:1,0
324,310:1,0
325,190:2,0
326,381:1,0
327,323:1,0
328,259:1,0
329,492:1,0
330,28:0,0
331,480:1,0
332,516:1,0
333,282:1,0
334,559:1,0
335,415:1,0
336,177:14,0
337,242:1,0
338,302:1,0
339,80:0,1
340,268:1,0
341,102:6,0
342,217:1,0
343,181:14,0
344,420:1,0
345,291:1,0
346,327:1,0
347,464:1,0
348,304:1,0
349,555:1,0
350,10:0,0
351,439:1,0
352,534:1,0
353,274:1,0
354,429:1,0
355,413:1,0
356,65:2,1
357,476:1,0
358,83:0,1
359,92:3,0
360,568:1,0
361,405:1,0
362,245:1,0
363,204:1,0
364,185:14,0
365,406:1,0
366,199:1,0
367,468:1,0
368,344:1,0
369,367:1,0
370,95:3,0
371,407:1,0
372,572:1,0
373,51:0,1
374,372:1,0
375,495:1,0
376,236:1,0
377,503:1,0
378,84:0,1
379,226:1,0
380,362:1,0
381,285:1,0
382,371:1,0
383,115:2,0
384,357:1,0
385,251:1,0
386,239:1,0
387,485:1,0
388,241:1,0
389,467:1,0
390,491:1,0
391,309:1,0
392,329:1,0
393,331:1,0
394,264:1,0
395,553:1,0
396,300:1,0
397,481:1,0
398,272:1,0
399,276:1,0
400,188:6,0
401,273:1,0
402,427:1,0
403,289:1,0
404,212:1,0
405,462:1,0
406,551:1,0
407,365:21,0
408,314:1,0
409,473:1,0
410,75:0,1
411,340:1,0
412,8:0,0
413,398:1,0
414,179:14,0
415,325:1,0
416,103:6,0
417,478:1,0
418,114:2,0
419,434:1,0
420,113:2,0
421,409:1,0
422,385:1,0
423,192:14,0
424,349:1,0
425,479:1,0
426,436:1,0
427,376:1,0
428,566:1,0
429,418:1,0
430,389:1,0
431,477:1,0
432,446:1,0
433,342:1,0
434,501:1,0
435,326:1,0
436,391:1,0
437,387:1,0
438,263:1,0
439,355:1,0
440,224:1,0
441,449:1,0
442,313:1,0
443,360:1,0
444,561:1,0
445,298:1,0
446,558:1,0
447,383:1,0
448,401:1,0
449,73:0,0
450,507:1,0
451,518:1,0
452,359:1,0
453,408:1,0
454,540:1,0
455,17:0,0
456,411:1,0
457,247:1,0
458,424:1,0
459,82:0,1
460,396:1,0
461,440:1,0
462,399:1,0
463,249:1,0
464,538:1,0
465,315:1,0
466,116:2,0
467,5:0,0
468,279:1,0
469,296:1,0
470,283:1,0
471,54:0,1
472,493:1,0
473,452:1,0
474,567:1,0
475,431:1,0
476,6:0,5034
477,421:1,0
478,270:1,0
479,77:0,0
480,412:1,0
481,299:1,0
482,266:1,0
483,206:1,0
