,run,rows
0,1007:2,0
1,1009:13,0
2,100:0,1
3,1010:13,0
4,1011:0,0
5,1014:5,0
6,1015:6,0
7,1018:9,1
8,1019:6,1
9,101:0,0
10,1021:5,0
11,1022:12,1
12,1023:4,4
13,1024:4,4
14,1025:4,4
15,1026:4,4
16,102:1,1
17,1031:2,1
18,1033:2,0
19,1034:2,3230
20,1036:2,0
21,1037:4,1
22,1039:2,0
23,1042:12,1
24,1043:10,1
25,1044:0,2020
26,1045:2,0
27,104:2,0
28,1058:6,0
29,1059:6,0
30,1060:0,7966
31,1061:6,1
32,1062:13,0
33,1063:4,2
34,1064:5,0
35,1065:4,2
36,1066:4,2
37,1067:2,1992
38,1068:4,2
39,1069:2,7994
40,1071:15,0
41,1073:8,0
42,1076:10,1
43,1077:8,0
44,107:0,0
45,1082:6,1
46,1084:30,0
47,1086:17,0
48,1087:17,0
49,10:0,0
50,1101:0,0
51,1102:0,0
52,1103:0,0
53,1104:0,0
54,1105:6,1
55,1106:8,0
56,1107:8,0
57,1108:6,1
58,110:0,2
59,1119:10,1
60,111:0,1
61,1120:12,1
62,1121:30,0
63,1122:30,0
64,1124:6,3
65,1125:6,3
66,1127:6,3
67,1128:14,4
68,1129:6,3
69,112:2,1
70,1130:14,3
71,1131:6,3
72,1132:6,3
73,1133:6,3
74,1134:14,4
75,1137:32,0
76,1138:32,0
77,1140:4,1
78,1142:1,0
79,1144:0,9986
80,1145:2,1
81,1148:17,0
82,1151:2,1
83,1157:12,1
84,1162:48,0
85,1166:12,1
86,116:0,1
87,1170:8,1
88,1175:33,0
89,1188:8,24
90,1192:15,0
91,1193:20,1
92,1195:10,1
93,1197:8,0
94,1198:8,0
95,119:0,0
96,11:0,0
97,1202:6,1
98,1203:17,0
99,120:0,0
100,1214:20,0
101,1218:0,2020
102,121:0,6604
103,1229:17,0
104,122:0,0
105,1233:20,1
106,1239:2,0
107,123:0,0
108,1247:2,7966
109,1248:2,0
110,1249:4,1
111,124:0,1
112,1250:2,0
113,1253:4,0
114,1254:4,0
115,1255:0,9985
116,1256:0,9985
117,126:0,0
118,1275:2,651
119,127:0,1
120,1282:5,0
121,1283:5,0
122,1285:5,0
123,1286:5,0
124,1287:5,0
125,1288:5,0
126,1289:12,0
127,128:0,0
128,1294:5,0
129,1295:5,0
130,1296:5,0
131,1297:5,0
132,129:0,0
133,1304:5,0
134,1306:10,0
135,1307:5,0
136,1308:33,0
137,1309:11,0
138,130:0,0
139,1312:15,0
140,1313:10,0
141,1314:15,0
142,1315:10,0
143,1316:22,0
144,1317:11,0
145,1318:15,0
146,1319:6,0
147,131:0,1
148,1320:6,0
149,1321:15,0
150,1322:12,0
151,1323:12,0
152,1324:11,0
153,1325:18,0
154,1326:18,0
155,1327:8,0
156,1328:14,0
157,1329:9,0
158,132:0,0
159,1330:9,0
160,1331:9,0
161,1332:11,0
162,1333:9,0
163,1337:0,1
164,1338:9,0
165,1339:9,0
166,133:0,1
167,1340:11,0
168,1343:8,0
169,1344:11,0
170,1345:11,0
171,1346:11,0
172,1347:11,0
173,1348:0,1
174,1350:0,1
175,1351:6,0
176,1352:0,1
177,1353:0,1
178,1355:0,1
179,1356:1,0
180,1357:5,0
181,1359:2,1
182,135:0,1
183,1360:2,1
184,1361:2,0
185,1362:2,1
186,1363:2,0
187,1364:2,1
188,1365:2,1
189,1366:2,1
190,1367:2,0
191,1369:2,3230
192,136:0,1
193,1371:4,1
194,1372:6,1
195,1373:2,1
196,1374:4,1
197,1375:2,3233
198,1376:2,1
199,1377:2,0
200,1378:6,1
